student-id,name,type,late,early,late-pick-up,class
22001,山田晴翔,一般,4,2,2,ひまわり組
22002,中野龍之介,短時間,5,3,0,ひまわり組
22003,長谷川優花,一般,2,0,2,ひまわり組
22004,木村海翔,一般,2,3,1,ひまわり組
22005,松本陽太,延長,5,1,0,ひまわり組
22006,阿部美咲,延長,2,1,1,ひまわり組
22007,福田美桜,延長,3,3,1,ひまわり組
22008,岡田航大,一般,1,0,0,ひまわり組
22009,後藤智也,一般,1,3,2,ひまわり組
22010,阿部樹,延長,1,1,2,ひまわり組
22011,渡辺拓真,延長,4,2,0,ひまわり組
22012,松本航大,延長,1,0,2,ひまわり組
22013,原田美羽,一般,4,3,2,ひまわり組
22014,松本陽太,短時間,4,1,1,ひまわり組
22015,林蒼,短時間,1,3,1,ひまわり組
22016,山田翔,延長,5,3,1,ひまわり組
22017,藤田心結,延長,2,0,2,ひまわり組
22018,橋本翔太,一般,4,1,2,ひまわり組
22019,山田翔真,一般,4,0,2,ひまわり組
22020,林翔,延長,0,3,2,ひまわり組
22021,中野陽斗,短時間,1,3,1,ひまわり組
22022,原田心音,一般,2,3,2,さくら組
22023,井上愛莉,延長,1,2,0,さくら組
22024,橋本拓海,短時間,5,2,2,さくら組
22025,前田大翔,延長,4,2,1,さくら組
22026,長谷川陽菜,一般,5,2,1,さくら組
22027,竹内陽翔,延長,2,0,1,さくら組
22028,加藤健太,一般,1,1,2,さくら組
22029,石田結衣,一般,3,0,2,さくら組
22030,近藤咲良,短時間,2,1,0,さくら組
22031,遠藤蓮,短時間,0,3,2,さくら組
22032,石川心音,一般,5,1,1,さくら組
22033,中野颯人,短時間,1,3,1,さくら組
22034,小林翔太,一般,4,1,1,さくら組
22035,青木美織,一般,1,0,2,さくら組
22036,坂本海翔,一般,2,3,0,さくら組
22037,小野陽葵,一般,1,0,1,さくら組
22038,渡辺龍之介,一般,1,0,0,さくら組
22039,近藤龍之介,延長,2,1,0,さくら組
22040,伊藤蓮,一般,0,2,0,さくら組
22041,中野隼人,延長,4,2,0,さくら組
22042,太田晴翔,一般,3,3,0,さくら組
22043,清水翔,短時間,2,2,2,さくら組
22044,高橋怜,延長,3,3,0,さくら組
22045,村上美咲,短時間,4,0,1,さくら組
22046,藤田翔太,延長,5,0,1,さくら組
22047,田中颯人,短時間,2,0,0,さくら組
22048,橋本陽太,一般,1,1,1,つぼみ組
22049,中村悠真,短時間,0,3,2,つぼみ組
22050,西村健太,短時間,4,1,0,つぼみ組
22051,小川颯,一般,2,2,0,つぼみ組
22052,坂本智也,短時間,2,1,0,つぼみ組
22053,小野心結,短時間,1,1,0,つぼみ組
22054,小野湊,一般,4,0,0,つぼみ組
22055,岡本陽菜,短時間,1,0,1,つぼみ組
22056,石田拓真,延長,4,1,1,つぼみ組
22057,松本心結,短時間,5,0,0,つぼみ組
22058,岡本美桜,延長,5,3,0,つぼみ組
22059,岡田蓮,延長,1,0,0,つぼみ組
22060,小林結愛,延長,3,1,1,つぼみ組
22061,後藤翔真,短時間,1,3,2,つぼみ組
22062,池田美織,延長,3,3,0,つぼみ組
22063,加藤美月,短時間,5,3,1,つぼみ組
22064,藤田優花,短時間,4,0,2,つぼみ組
22065,松本優花,一般,3,0,2,つぼみ組
22066,山崎颯,延長,1,1,0,つぼみ組
22067,藤井凛,一般,1,2,2,つぼみ組
22068,福田颯,一般,0,1,0,つぼみ組
22069,岡田蓮,一般,5,1,1,つぼみ組
22070,山崎颯,短時間,5,3,2,つぼみ組
22071,岡本結愛,一般,1,0,0,つぼみ組
22072,山崎颯太,一般,5,1,1,つぼみ組
22073,加藤悠真,短時間,1,1,1,つぼみ組
22074,近藤陽斗,延長,5,3,2,つぼみ組
22075,小川拓海,一般,0,3,1,つぼみ組
22076,佐藤湊,一般,5,2,2,たんぽぽ組
22077,伊藤翔真,延長,5,2,0,たんぽぽ組
22078,松田大和,延長,3,1,2,たんぽぽ組
22079,近藤海翔,一般,3,3,1,たんぽぽ組
22080,小川咲良,一般,3,0,2,たんぽぽ組
22081,石川拓真,短時間,3,2,0,たんぽぽ組
22082,松田花音,一般,0,0,1,たんぽぽ組
22083,長谷川翔太,短時間,5,0,0,たんぽぽ組
22084,中村樹,一般,2,1,0,たんぽぽ組
22085,坂本結衣,延長,4,3,2,たんぽぽ組
22086,坂本美桜,延長,3,2,2,たんぽぽ組
22087,石川心音,短時間,1,2,0,たんぽぽ組
22088,佐々木大輝,延長,5,0,0,たんぽぽ組
22089,加藤蓮,一般,0,3,0,たんぽぽ組
22090,佐々木陽葵,一般,3,2,1,たんぽぽ組
22091,阿部湊,短時間,3,3,2,たんぽぽ組
22092,鈴木悠人,延長,3,3,2,たんぽぽ組
22093,加藤花音,短時間,0,3,0,たんぽぽ組
22094,清水美桜,短時間,5,2,0,たんぽぽ組
22095,吉田美織,一般,0,0,2,たんぽぽ組
22096,前田湊,一般,4,1,0,たんぽぽ組
22097,藤田拓海,一般,0,0,1,たんぽぽ組
22098,三浦陽菜,延長,2,3,0,たんぽぽ組
22099,佐藤翔太,一般,2,2,0,たんぽぽ組
22100,田村大翔,短時間,3,0,0,たんぽぽ組
22101,中野陽太,延長,4,3,2,すみれ組
22102,竹内拓真,延長,4,0,2,すみれ組
22103,福田心結,短時間,3,2,0,すみれ組
22104,坂本蒼,一般,0,1,0,すみれ組
22105,伊藤龍之介,一般,4,0,2,すみれ組
22106,松田愛莉,短時間,5,0,0,すみれ組
22107,岡田蓮,短時間,2,0,2,すみれ組
22108,長谷川咲良,延長,1,3,0,すみれ組
22109,松田心結,延長,0,3,0,すみれ組
22110,山口花音,短時間,3,3,0,すみれ組
22111,石田蓮,延長,0,2,0,すみれ組
22112,鈴木翔,短時間,2,3,2,すみれ組
22113,山口結衣,一般,5,1,1,すみれ組
22114,岡田陽斗,延長,1,2,2,すみれ組
22115,加藤凛,短時間,1,1,1,すみれ組
22116,太田美羽,短時間,3,0,1,すみれ組
22117,池田愛莉,一般,0,2,2,すみれ組
22118,中川陽葵,延長,0,1,1,すみれ組
22119,吉田莉子,短時間,4,3,2,すみれ組
22120,近藤大樹,一般,1,3,0,すみれ組
22121,遠藤翔真,延長,3,2,2,すみれ組
22122,木村悠人,短時間,2,3,2,すみれ組
22123,吉田翔,一般,4,2,1,すみれ組
22124,佐藤海翔,一般,3,3,0,すみれ組
22125,木村晴翔,短時間,1,3,1,すみれ組
22126,田中颯人,延長,0,0,2,すみれ組
