student-id,name,type,late,early,late-pick-up,class
22001,石田愛莉,短時間,2,3,0,ひまわり組
22002,佐藤怜,延長,1,3,0,ひまわり組
22003,岡本陽斗,延長,1,2,0,ひまわり組
22004,小野颯真,延長,4,1,1,ひまわり組
22005,長谷川航大,延長,5,1,2,ひまわり組
22006,遠藤怜,延長,0,3,0,ひまわり組
22007,加藤心音,一般,1,1,0,ひまわり組
22008,藤田陽太,延長,2,2,2,ひまわり組
22009,小野大輝,延長,1,0,2,ひまわり組
22010,岡田大翔,一般,0,2,1,ひまわり組
22011,山田大翔,一般,4,3,0,ひまわり組
22012,藤田凛,短時間,2,3,1,ひまわり組
22013,松田隼人,延長,0,3,2,ひまわり組
22014,松本大翔,一般,1,2,0,ひまわり組
22015,坂本湊,延長,0,2,0,ひまわり組
22016,中野陽斗,短時間,0,0,0,ひまわり組
22017,清水翔真,短時間,3,1,2,ひまわり組
22018,太田翔,一般,1,2,2,ひまわり組
22019,藤井大輝,延長,1,0,1,ひまわり組
22020,佐藤陽葵,延長,4,0,2,ひまわり組
22021,阿部心音,短時間,0,2,0,ひまわり組
22022,佐藤大和,一般,5,1,0,ひまわり組
22023,伊藤陽菜,短時間,0,0,1,ひまわり組
22024,遠藤美咲,一般,2,3,0,ひまわり組
22025,岡田結衣,一般,5,2,0,さくら組
22026,竹内陽翔,短時間,4,2,0,さくら組
22027,村上心音,短時間,2,1,2,さくら組
22028,前田翔真,短時間,4,3,2,さくら組
22029,太田大翔,延長,3,1,1,さくら組
22030,岡本大輝,一般,4,3,1,さくら組
22031,岡本大和,一般,1,3,0,さくら組
22032,西村智也,延長,4,3,0,さくら組
22033,小川凛,短時間,5,2,1,さくら組
22034,池田結愛,延長,1,0,0,さくら組
22035,井上悠人,一般,3,2,1,さくら組
22036,原田隼人,延長,4,1,0,さくら組
22037,石田翔太,短時間,2,1,2,さくら組
22038,小川結菜,一般,2,3,1,さくら組
22039,田村怜,短時間,1,0,1,さくら組
22040,岡本颯,短時間,2,1,2,さくら組
22041,中野航大,短時間,2,2,0,さくら組
22042,吉田美羽,短時間,4,1,0,さくら組
22043,小林美羽,短時間,4,3,1,さくら組
22044,三浦颯,一般,4,2,1,さくら組
22045,太田蒼,短時間,1,0,0,さくら組
22046,小野大和,延長,3,0,0,さくら組
22047,清水美月,一般,2,3,1,さくら組
22048,伊藤美月,延長,4,1,0,さくら組
22049,井上翔真,延長,1,2,2,さくら組
22050,原田優花,短時間,5,1,1,さくら組
22051,岡田拓海,延長,5,0,1,つぼみ組
22052,中川心結,短時間,3,0,2,つぼみ組
22053,長谷川美羽,延長,4,1,0,つぼみ組
22054,岡本美咲,短時間,2,1,0,つぼみ組
22055,近藤蓮,短時間,1,2,0,つぼみ組
22056,加藤海翔,短時間,0,3,2,つぼみ組
22057,田中翔,延長,4,1,2,つぼみ組
22058,山口翔太,一般,1,1,1,つぼみ組
22059,福田大翔,一般,3,0,1,つぼみ組
22060,西村大輝,一般,3,3,1,つぼみ組
22061,佐藤大樹,一般,5,1,2,つぼみ組
22062,吉田翔真,延長,2,3,2,つぼみ組
22063,藤原颯,短時間,1,3,0,つぼみ組
22064,山口美咲,一般,5,3,1,つぼみ組
22065,長谷川怜,短時間,3,1,2,つぼみ組
22066,村上翔真,一般,0,3,0,つぼみ組
22067,橋本蒼,延長,1,1,1,つぼみ組
22068,井上龍之介,延長,5,2,1,つぼみ組
22069,田村樹,延長,5,1,1,つぼみ組
22070,前田美咲,一般,4,0,0,つぼみ組
22071,藤田陽菜,短時間,4,1,0,つぼみ組
22072,松田琴音,延長,1,0,2,つぼみ組
22073,岡田陽葵,短時間,5,3,1,たんぽぽ組
22074,小林結菜,一般,1,3,1,たんぽぽ組
22075,三浦美咲,短時間,0,3,2,たんぽぽ組
22076,近藤美咲,短時間,1,3,0,たんぽぽ組
22077,高橋颯太,一般,0,1,2,たんぽぽ組
